filename,width,height,class,xmin,ymin,xmax,ymax
/home/cp/sw/make/ml/data/apple/apple_056.jpg,1200,900,apple,349,227,861,784
/home/cp/sw/make/ml/data/apple/apple_058.jpg,720,810,apple,167,334,651,810
/home/cp/sw/make/ml/data/apple/apple_058.jpg,720,810,apple,1,132,368,605
/home/cp/sw/make/ml/data/apple/apple_005.jpg,620,350,apple,68,161,187,276
/home/cp/sw/make/ml/data/apple/apple_005.jpg,620,350,apple,208,181,339,306
/home/cp/sw/make/ml/data/apple/apple_005.jpg,620,350,apple,264,64,370,159
/home/cp/sw/make/ml/data/apple/apple_005.jpg,620,350,apple,331,1,466,105
/home/cp/sw/make/ml/data/apple/apple_005.jpg,620,350,apple,420,46,541,162
/home/cp/sw/make/ml/data/apple/apple_005.jpg,620,350,apple,324,104,438,211
/home/cp/sw/make/ml/data/apple/apple_061.jpg,500,500,apple,234,132,416,343
/home/cp/sw/make/ml/data/apple/apple_063.jpg,1280,720,apple,19,1,719,708
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,70,25,290,226
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,35,217,253,453
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,183,177,382,411
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,605,298,787,513
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,498,370,675,567
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,333,239,574,463
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,191,350,373,543
/home/cp/sw/make/ml/data/apple/apple_065.jpg,800,600,apple,443,425,655,598
/home/cp/sw/make/ml/data/apple/apple_067.jpg,634,476,apple,291,55,588,342
/home/cp/sw/make/ml/data/apple/apple_069.jpg,500,500,apple,95,227,262,404
/home/cp/sw/make/ml/data/apple/apple_069.jpg,500,500,apple,229,219,406,376
/home/cp/sw/make/ml/data/apple/apple_069.jpg,500,500,apple,169,128,348,297
/home/cp/sw/make/ml/data/apple/apple_070.jpg,196,250,apple,31,82,157,222
/home/cp/sw/make/ml/data/apple/apple_072.jpg,250,250,apple,26,56,222,239
/home/cp/sw/make/ml/data/apple/apple_074.jpg,500,500,apple,125,196,295,374
/home/cp/sw/make/ml/data/apple/apple_074.jpg,500,500,apple,197,144,363,328
/home/cp/sw/make/ml/data/apple/apple_076.jpg,450,353,apple,36,38,271,282
/home/cp/sw/make/ml/data/apple/apple_008.jpg,238,168,apple,67,8,222,155
/home/cp/sw/make/ml/data/apple/apple_077.jpg,300,229,apple,71,60,175,164
/home/cp/sw/make/ml/data/apple/apple_077.jpg,300,229,apple,12,22,105,111
/home/cp/sw/make/ml/data/apple/apple_077.jpg,300,229,apple,134,23,243,115
/home/cp/sw/make/ml/data/apple/apple_077.jpg,300,229,apple,107,126,216,229
/home/cp/sw/make/ml/data/apple/apple_077.jpg,300,229,apple,207,138,298,229
